Article_ID,News_Title,Source,Category,Sentiment,Bias_Type,Engagement
101,News Article 101,Media A,Politics,Positive,Left,2036
102,News Article 102,Media C,Environment,Negative,Right,7175
103,News Article 103,Media D,Technology,Neutral,Left,5050
104,News Article 104,Media A,Education,Negative,Right,5887
105,News Article 105,Media A,Technology,Positive,Right,7400
106,News Article 106,Media D,Politics,Positive,Left,4700
107,News Article 107,Media A,Politics,Negative,Right,6372
108,News Article 108,Media D,Economy,Neutral,Right,3342
109,News Article 109,Media D,Environment,Negative,Right,8878
110,News Article 110,Media D,Economy,Negative,Neutral,7325
111,News Article 111,Media D,Environment,Neutral,Right,8912
112,News Article 112,Media B,Economy,Negative,Right,8373
113,News Article 113,Media D,Health,Neutral,Neutral,2784
114,News Article 114,Media B,Technology,Positive,Neutral,8842
115,News Article 115,Media B,Economy,Positive,Neutral,2893
116,News Article 116,Media D,Health,Positive,Neutral,9621
117,News Article 117,Media A,Environment,Negative,Left,2041
118,News Article 118,Media A,Politics,Positive,Neutral,5059
119,News Article 119,Media D,Health,Positive,Right,8670
120,News Article 120,Media B,Health,Positive,Neutral,5958
121,News Article 121,Media C,Economy,Positive,Right,6096
122,News Article 122,Media A,Finance,Neutral,Neutral,5089
123,News Article 123,Media D,Finance,Negative,Left,7924
124,News Article 124,Media C,Education,Positive,Right,2025
125,News Article 125,Media A,Politics,Negative,Neutral,7646
126,News Article 126,Media B,Politics,Positive,Neutral,8708
127,News Article 127,Media D,Environment,Negative,Right,2534
128,News Article 128,Media A,Politics,Positive,Left,6973
129,News Article 129,Media C,Politics,Neutral,Neutral,2317
130,News Article 130,Media D,Technology,Positive,Neutral,5954
131,News Article 131,Media A,Health,Positive,Neutral,5685
132,News Article 132,Media C,Finance,Negative,Neutral,9649
133,News Article 133,Media B,Economy,Neutral,Left,6606
134,News Article 134,Media B,Health,Neutral,Right,2681
135,News Article 135,Media D,Technology,Neutral,Right,2973
136,News Article 136,Media A,Education,Positive,Neutral,7724
137,News Article 137,Media C,Education,Negative,Neutral,8914
138,News Article 138,Media A,Technology,Neutral,Neutral,6911
139,News Article 139,Media C,Technology,Neutral,Right,5986
140,News Article 140,Media A,Environment,Negative,Left,9735
141,News Article 141,Media C,Environment,Positive,Right,2021
142,News Article 142,Media A,Technology,Neutral,Right,9187
143,News Article 143,Media A,Technology,Neutral,Right,5456
144,News Article 144,Media C,Environment,Neutral,Left,7709
145,News Article 145,Media C,Education,Positive,Left,4885
146,News Article 146,Media D,Finance,Neutral,Right,5588
147,News Article 147,Media D,Environment,Positive,Neutral,2641
148,News Article 148,Media D,Technology,Neutral,Neutral,7232
149,News Article 149,Media C,Economy,Positive,Neutral,7658
150,News Article 150,Media B,Politics,Positive,Neutral,7352
